DaySince2009,TempWeek
0,22.665235039401402
1,22.43640032145513
2,22.15521459037564
3,22.233020172550198
4,21.99212843342968
5,21.902724667030547
6,22.166929161835913
7,22.67205801300316
8,22.653961516993736
9,22.92538962673045
10,22.822068071268834
11,22.417156192801155
12,22.161290556266085
13,21.915366049307497
14,21.577069416733764
15,21.913943353077578
16,22.126202536185456
17,22.446632578112823
18,22.89334047946923
19,23.365567711464493
20,23.580283151594365
21,24.057977480465787
22,24.083643350786677
23,24.05117953746017
24,24.295618372632553
25,24.300888145137645
26,24.16135045619882
27,24.052447849342663
28,24.059626902085103
29,23.70873917065141
30,23.068927838538603
31,22.742863226920598
32,22.656819772458935
33,22.588200189459833
34,22.087376284429777
35,21.48391075572969
36,21.526435511157466
37,21.641499334807396
38,21.71677016803596
39,21.68394198645114
40,21.260304008096718
41,21.192569339186573
42,21.577552009362844
43,21.95665427139228
44,22.487608521219745
45,22.49824096524372
46,22.45226126333211
47,22.729900802987366
48,23.17674146161177
49,23.17702760041137
50,23.059633295535917
51,22.942624058300698
52,23.298086163553588
53,23.446358577523707
54,23.75072162496009
55,23.83633854965255
56,23.929985544070263
57,24.088100830455183
58,23.70557711048423
59,23.256415277685374
60,23.125106869246494
61,23.101933520936047
62,23.20324286032299
63,23.168721811285476
64,23.463373246706748
65,24.007824882610574
66,24.486949376708147
67,24.33030451046819
68,23.795126331318844
69,23.07330519262266
70,22.53945040798805
71,22.274132743085097
72,21.90406984025397
73,21.632730438237186
74,21.398474299352632
75,21.651689772939786
76,21.93491954287002
77,21.828600451649027
78,21.678121765879624
79,21.696837983950427
80,21.903678914641798
81,22.368399046077336
82,22.45875805891989
83,22.316616107811587
84,22.50111480248097
85,22.474243261438843
86,22.408136167005075
87,22.137328945622738
88,22.28732475797168
89,22.31064220367798
90,22.178609576235978
91,22.26865591441883
92,22.66831551513668
93,22.889524077175725
94,23.19726946943215
95,23.27338985143098
96,23.684951794952788
97,24.334526051009856
98,24.643343749846817
99,24.889965724521463
100,24.95037571819953
101,25.131727445240486
102,25.249402684641
103,25.45763107665456
104,25.59024438695502
105,25.758832224628655
106,25.810485753492056
107,25.82611017482136
108,25.97342686242168
109,25.970932493773965
110,26.081971000051457
111,25.95219992762218
112,26.09430027734601
113,26.164743481506243
114,26.307029110257883
115,26.46523905736774
116,26.546523178012404
117,26.16621063490596
118,25.905640261950943
119,25.517565215637998
120,24.991858123873186
121,24.67229000538761
122,24.379398121414116
123,24.176756461443095
124,24.50366711187016
125,25.028562816719074
126,25.133964268794944
127,25.354868343586602
128,25.56329865202004
129,25.56834395514323
130,25.67761216351799
131,25.829649184761852
132,25.852507350345082
133,25.95993120193196
134,25.883568401669603
135,25.971939295052106
136,25.980612139350768
137,25.931991239169445
138,25.881955203273478
139,25.77588021956085
140,25.899505023879506
141,26.263383636120885
142,26.35481605337331
143,26.545853576545618
144,26.739031847729727
145,26.841708181960865
146,27.08298757284597
147,27.35499159212635
148,27.430452373436626
149,27.36560345219992
150,27.02752757693481
151,27.03674158343638
152,27.012202528724337
153,27.068769743792043
154,27.240461301394944
155,27.333186227109895
156,27.500734520560783
157,27.849193692155993
158,28.241110437878262
159,28.48392572085709
160,28.4879415669016
161,28.430159881634722
162,28.479519038724717
163,28.586124508564236
164,28.66986374337231
165,28.738100806888216
166,28.717426782570865
167,28.891141121979864
168,28.49530634543424
169,28.18852326131405
170,28.110326339322054
171,28.00793610223005
172,27.784399443880325
173,27.524979692325495
174,27.444647622140803
175,27.787235072579147
176,27.83744921881357
177,27.73987646362237
178,27.594833347430814
179,27.72434322553889
180,27.994713825227674
181,28.01848010698219
182,28.124814516209184
183,28.214477982168138
184,28.39131568092819
185,28.51257518642614
186,28.57074182726125
187,28.59551192165279
188,28.609298567058048
189,28.702776314050155
190,28.764453134090882
191,28.75308662535241
192,28.82607470250257
193,28.761824856306703
194,28.715500861479647
195,28.54870233579951
196,28.354078314820438
197,28.32246254881607
198,28.06317576931745
199,27.895649152617143
200,27.836009709349632
201,27.75530636910272
